Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	PEP	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Q01469	Q01469	2	2	2	Fatty acid-binding protein, epidermal	FABP5	>sp|Q01469|FABP5_HUMAN Fatty acid-binding protein, epidermal OS=Homo sapiens GN=FABP5 PE=1 SV=3	1	2	2	2	11.9	11.9	11.9	15.164	135	135	1.683E-05	0.15296	0.10855	6.5304	2	76979000	67397000	9581800				1853	1096;3791	True;True	1100;3799	1299;4475	2355;2356;8072	2355;8072		
Q01518-2;Q01518;Q5T0R7;Q5T0R6;Q5T0R5;Q5T0R4;Q5T0R3;Q5T0R2;Q5T0R1;Q5T0R9;Q5T0R8;Q5T0S3;B7Z214;B7Z385;B7Z1C4;E9PDI2;P40123	Q01518-2;Q01518;Q5T0R7;Q5T0R6;Q5T0R5;Q5T0R4;Q5T0R3;Q5T0R2;Q5T0R1;Q5T0R9	10;10;5;5;5;5;5;5;5;5;2;2;1;1;1;1;1	10;10;5;5;5;5;5;5;5;5;2;2;1;1;1;1;1	10;10;5;5;5;5;5;5;5;5;2;2;1;1;1;1;1	Adenylyl cyclase-associated protein 1	CAP1	>sp|Q01518-2|CAP1_HUMAN Isoform 2 of Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1;>sp|Q01518|CAP1_HUMAN Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1 PE=1 SV=5;>tr|Q5T0R7|Q5T0R7_HUMAN Adenylyl cyclase-associated protein 1 (	17	10	10	10	27.8	27.8	27.8	51.83	474	474;475;174;176;180;202;203;208;215;263;58;145;217;365;413;451;477	1.1216E-65	2.0013	1.4316	17.322	10	440900000	137930000	302970000				1854	199;2678;5702;5703;6164;6307;7144;9895;11075;11614	True;True;True;True;True;True;True;True;True;True	199;2685;5712;5713;6174;6317;7156;9912;11095;11634	230;231;3181;6866;6867;6868;7427;7586;8616;11797;13272;13273;13908	433;434;5701;12512;12513;12514;13487;13757;13758;13759;15565;15566;21304;24162;24163;24164;24165;25359;25360	433;5701;12512;12514;13487;13759;15566;21304;24163;25360		
Q01543-2;Q01543-3;Q01543	Q01543-2;Q01543-3;Q01543	1;1;1	1;1;1	1;1;1	Friend leukemia integration 1 transcription factor	FLI1	>sp|Q01543-2|FLI1_HUMAN Isoform 2 of Friend leukemia integration 1 transcription factor OS=Homo sapiens GN=FLI1;>sp|Q01543-3|FLI1_HUMAN Isoform 3 of Friend leukemia integration 1 transcription factor OS=Homo sapiens GN=FLI1;>sp|Q01543|FLI1_HUMAN Friend leu	3	1	1	1	4.9	4.9	4.9	43.648	386	386;419;452	6.4966E-10	NaN	NaN	NaN	0	0	0	0				1855	7339	True	7351	8832	15921	15921		
Q01581	Q01581	6	6	6	Hydroxymethylglutaryl-CoA synthase, cytoplasmic	HMGCS1	>sp|Q01581|HMCS1_HUMAN Hydroxymethylglutaryl-CoA synthase, cytoplasmic OS=Homo sapiens GN=HMGCS1 PE=1 SV=2	1	6	6	6	21.9	21.9	21.9	57.293	520	520	5.3491E-23	NaN	NaN	NaN	0	30535000	30535000	0				1856	5050;6936;7754;8426;8658;9196	True;True;True;True;True;True	5059;6947;7767;8439;8672;9210	6062;8379;9315;10101;10366;10367;11000	11042;15152;15153;16796;18218;18738;18739;19867	11042;15152;16796;18218;18738;19867		
Q01650;H0YJ95;G3V4Z6;Q9UM01;Q92536	Q01650	3;1;1;1;1	3;1;1;1;1	3;1;1;1;1	Large neutral amino acids transporter small subunit 1	SLC7A5	>sp|Q01650|LAT1_HUMAN Large neutral amino acids transporter small subunit 1 OS=Homo sapiens GN=SLC7A5 PE=1 SV=2	5	3	3	3	7.7	7.7	7.7	55.01	507	507;168;245;511;515	7.0794E-08	0.24696	0.21645	39.399	2	16735000	13417000	3318500				1857	553;6276;9236	True;True;True	554;6286;9250	644;7552;11043	1179;13693;19945;19946;19947	1179;13693;19946		
Q01658	Q01658	1	1	1	Protein Dr1	DR1	>sp|Q01658|NC2B_HUMAN Protein Dr1 OS=Homo sapiens GN=DR1 PE=1 SV=1	1	1	1	1	7.4	7.4	7.4	19.443	176	176	0.010105	NaN	NaN	NaN	1	15382000	9041000	6340900				1858	6218	True	6228	7485	13586	13586		
Q01813;Q01813-2;B1APP8	Q01813;Q01813-2;B1APP8	4;3;2	2;2;2	2;2;2	6-phosphofructokinase type C	PFKP	>sp|Q01813|K6PP_HUMAN 6-phosphofructokinase type C OS=Homo sapiens GN=PFKP PE=1 SV=2;>sp|Q01813-2|K6PP_HUMAN Isoform 2 of 6-phosphofructokinase type C OS=Homo sapiens GN=PFKP;>tr|B1APP8|B1APP8_HUMAN 6-phosphofructokinase type C OS=Homo sapiens GN=PFKP PE=2	3	4	2	2	7.5	4	4	85.595	784	784;776;202	1.7562E-71	NaN	NaN	NaN	0	5898000	5898000	0				1859	502;1030;1698;10296	False;True;True;False	503;1034;1703;10314	584;1219;2017;12270	1078;1079;1080;1081;2204;2205;3622;22213;22214	1079;2204;3622;22213		
Q02218;F5H801;Q02218-2;E9PDF2;E9PCR7;E9PFG7;Q02218-3;C9J4G7;Q9ULD0-3;Q9ULD0-2;Q9ULD0	Q02218;F5H801;Q02218-2;E9PDF2;E9PCR7;E9PFG7;Q02218-3	14;13;13;13;13;10;7;4;4;4;4	14;13;13;13;13;10;7;4;4;4;4	14;13;13;13;13;10;7;4;4;4;4	2-oxoglutarate dehydrogenase, mitochondrial	OGDH	>sp|Q02218|ODO1_HUMAN 2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens GN=OGDH PE=1 SV=3;>tr|F5H801|F5H801_HUMAN 2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens GN=OGDH PE=2 SV=1;>sp|Q02218-2|ODO1_HUMAN Isoform 2 of 2-oxoglutarate de	11	14	14	14	18.6	18.6	18.6	115.93	1023	1023;974;1019;1034;1038;873;427;211;801;953;1010	2.886E-58	1.5785	1.3564	19.998	12	173170000	66829000	106340000				1860	3139;4767;4930;5864;6154;6390;6628;6924;8479;9900;9940;10070;11122;12095	True;True;True;True;True;True;True;True;True;True;True;True;True;True	3146;4776;4939;5874;6164;6400;6638;6935;8492;9917;9957;10087;11142;12115	3718;5723;5926;5927;5928;7077;7417;7684;8004;8367;10159;11803;11850;12000;13334;14511	6679;10415;10416;10417;10418;10791;10792;10793;10794;10795;12876;13466;13467;13931;14535;14536;15130;15131;15132;18337;18338;18339;21313;21314;21400;21683;21684;24284;26482;26483	6679;10417;10792;12876;13466;13931;14535;15132;18338;21314;21400;21684;24284;26482		
Q02750-2;Q02750;H3BRW9	Q02750-2;Q02750	3;3;1	2;2;1	2;2;1	Dual specificity mitogen-activated protein kinase kinase 1	MAP2K1	>sp|Q02750-2|MP2K1_HUMAN Isoform 2 of Dual specificity mitogen-activated protein kinase kinase 1 OS=Homo sapiens GN=MAP2K1;>sp|Q02750|MP2K1_HUMAN Dual specificity mitogen-activated protein kinase kinase 1 OS=Homo sapiens GN=MAP2K1 PE=1 SV=2	3	3	2	2	10.6	7.6	7.6	40.763	367	367;393;217	1.1991E-07	0.79898	0.72481	19.901	2	14712000	8811000	5900600				1861	5805;6527;6989	True;False;True	5815;6537;7000	7007;7842;8442	12758;14238;15278	12758;14238;15278		
Q02790;H0YFG2;F5H1U3;F5H120	Q02790	14;2;2;1	14;2;2;1	14;2;2;1	Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed	FKBP4	>sp|Q02790|FKBP4_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens GN=FKBP4 PE=1 SV=3	4	14	14	14	41.6	41.6	41.6	51.804	459	459;84;86;51	4.7802E-108	0.72522	0.57927	12.833	13	292770000	168370000	124390000				1862	233;1057;1208;2398;3149;3729;3733;3756;5606;7427;9110;9765;11157;11432	True;True;True;True;True;True;True;True;True;True;True;True;True;True	233;1061;1213;2405;3156;3736;3740;3763;5616;7439;9124;9782;11177;11452	267;1254;1423;2866;3730;4403;4407;4430;4431;6749;8938;10899;11646;13372;13698	499;2287;2288;2564;5144;6698;6699;7952;7957;7990;7991;12310;12311;12312;12313;16110;16111;19686;21017;24373;24374;24375;24376;24968;24969	499;2288;2564;5144;6699;7952;7957;7990;12310;16110;19686;21017;24374;24968		
Q02818;C9JKZ2;H7BZI1;C9JBD3;C9J3C1	Q02818;C9JKZ2;H7BZI1	4;3;3;1;1	4;3;3;1;1	4;3;3;1;1	Nucleobindin-1	NUCB1	>sp|Q02818|NUCB1_HUMAN Nucleobindin-1 OS=Homo sapiens GN=NUCB1 PE=1 SV=4;>tr|C9JKZ2|C9JKZ2_HUMAN Nucleobindin-1 (Fragment) OS=Homo sapiens GN=NUCB1 PE=2 SV=1;>tr|H7BZI1|H7BZI1_HUMAN Nucleobindin-1 (Fragment) OS=Homo sapiens GN=NUCB1 PE=4 SV=1	5	4	4	4	9.1	9.1	9.1	53.879	461	461;268;295;111;124	5.0195E-10	0.71051	0.61485	38.675	4	46488000	24933000	21554000				1863	7006;7203;11562;12315	True;True;True;True	7017;7215;11582;12335	8460;8682;13850;14768	15312;15675;15676;25259;26949	15312;15675;25259;26949		
Q04446;E9PGM4	Q04446;E9PGM4	5;3	5;3	5;3	1,4-alpha-glucan-branching enzyme	GBE1	>sp|Q04446|GLGB_HUMAN 1,4-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3;>tr|E9PGM4|E9PGM4_HUMAN 1,4-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=2 SV=1	2	5	5	5	14.7	14.7	14.7	80.473	702	702;661	1.7106E-17	1.7238	1.3883	34.949	5	45970000	16104000	29866000				1864	102;5626;6014;6557;6643	True;True;True;True;True	102;5636;6024;6567;6653	115;6776;7261;7920;8020	213;214;215;216;12369;12370;13185;14380;14381;14382;14560	216;12369;13185;14381;14560		
Q04760;Q04760-2	Q04760;Q04760-2	8;6	8;6	8;6	Lactoylglutathione lyase	GLO1	>sp|Q04760|LGUL_HUMAN Lactoylglutathione lyase OS=Homo sapiens GN=GLO1 PE=1 SV=4;>sp|Q04760-2|LGUL_HUMAN Isoform 2 of Lactoylglutathione lyase OS=Homo sapiens GN=GLO1	2	8	8	8	48.4	48.4	48.4	20.777	184	184;169	6.1611E-42	3.055	2.3778	25.415	6	262030000	49773000	212260000				1865	1069;1404;4013;4836;5669;9101;9619;11377	True;True;True;True;True;True;True;True	1073;1409;4021;4845;5679;9115;9636;11397	1267;1268;1650;4806;4807;4808;5799;6828;10889;11483;13636	2306;2307;2308;2309;2970;8738;8739;8740;8741;8742;8743;8744;8745;8746;10566;12458;12459;12460;19673;20738;20739;24858	2308;2970;8738;10566;12459;19673;20739;24858		
Q04837;E7EUY5;C9K0U8	Q04837;E7EUY5	5;4;2	5;4;2	5;4;2	Single-stranded DNA-binding protein, mitochondrial	SSBP1	>sp|Q04837|SSBP_HUMAN Single-stranded DNA-binding protein, mitochondrial OS=Homo sapiens GN=SSBP1 PE=1 SV=1;>tr|E7EUY5|E7EUY5_HUMAN Single-stranded DNA-binding protein, mitochondrial (Fragment) OS=Homo sapiens GN=SSBP1 PE=4 SV=1	3	5	5	5	41.2	41.2	41.2	17.259	148	148;135;121	1.4928E-151	1.2019	0.79763	15.284	7	391500000	182370000	209130000				1866	4894;4895;8366;8712;9458	True;True;True;True;True	4903;4904;8379;8726;9474	5867;5868;10034;10035;10433;10434;11291	10680;10681;10682;10683;18088;18089;18090;18091;18861;18862;18863;18864;18865;20406;20407	10681;10682;18088;18865;20407		
Q04917;A2IDB2;F8WEB6;A2IDB1	Q04917	7;3;2;2	4;1;2;2	4;1;2;2	14-3-3 protein eta	YWHAH	>sp|Q04917|1433F_HUMAN 14-3-3 protein eta OS=Homo sapiens GN=YWHAH PE=1 SV=4	4	7	4	4	27.6	17.9	17.9	28.218	246	246;162;39;72	2.535E-33	0.63796	0.51221	0.71905	3	69806000	47543000	22264000				1867	1187;1931;3708;8248;8249;8452;12125	True;False;True;False;False;True;True	1192;1937;3715;8261;8262;8465;12145	1400;2311;4380;9904;9905;10130;14546	2527;2528;4161;4162;7915;17840;17841;17842;18281;18282;26544	2527;4162;7915;17840;17842;18282;26544		
Q04941	Q04941	1	1	1	Proteolipid protein 2	PLP2	>sp|Q04941|PLP2_HUMAN Proteolipid protein 2 OS=Homo sapiens GN=PLP2 PE=1 SV=1	1	1	1	1	8.6	8.6	8.6	16.691	152	152	0.00013366	NaN	NaN	NaN	0	0	0	0				1868	4729	True	4738	5679	10337	10337		
Q05048;A3KFI9	Q05048	3;1	3;1	3;1	Cleavage stimulation factor subunit 1	CSTF1	>sp|Q05048|CSTF1_HUMAN Cleavage stimulation factor subunit 1 OS=Homo sapiens GN=CSTF1 PE=1 SV=1	2	3	3	3	10.7	10.7	10.7	48.357	431	431;142	6.4707E-08	0.75978	0.6804	24.68	2	22934000	14399000	8535100				1869	6430;9585;12274	True;True;True	6440;9602;12294	7729;11443;14718	14016;20669;20670;26863	14016;20670;26863		
Q05086-2;Q05086-3;Q05086	Q05086-2;Q05086-3;Q05086	1;1;1	1;1;1	1;1;1	Ubiquitin-protein ligase E3A	UBE3A	>sp|Q05086-2|UBE3A_HUMAN Isoform I of Ubiquitin-protein ligase E3A OS=Homo sapiens GN=UBE3A;>sp|Q05086-3|UBE3A_HUMAN Isoform III of Ubiquitin-protein ligase E3A OS=Homo sapiens GN=UBE3A;>sp|Q05086|UBE3A_HUMAN Ubiquitin-protein ligase E3A OS=Homo sapiens GN	3	1	1	1	1.4	1.4	1.4	97.967	852	852;872;875	7.309E-05	NaN	NaN	NaN	1	8535700	3291800	5243900				1870	7784	True	7798	9347	16853	16853		
Q5T760;Q05519-2;Q05519;B4DWT1;B4DTC1	Q5T760;Q05519-2;Q05519;B4DWT1;B4DTC1	2;2;2;1;1	2;2;2;1;1	2;2;2;1;1	Serine/arginine-rich splicing factor 11	SRSF11	>tr|Q5T760|Q5T760_HUMAN Serine/arginine-rich-splicing factor 11 (Fragment) OS=Homo sapiens GN=SRSF11 PE=2 SV=1;>sp|Q05519-2|SRS11_HUMAN Isoform 2 of Serine/arginine-rich splicing factor 11 OS=Homo sapiens GN=SRSF11;>sp|Q05519|SRS11_HUMAN Serine/arginine-ri	5	2	2	2	6.4	6.4	6.4	42.316	389	389;483;484;128;131	3.2353E-06	0.91943	0.76637	19.249	2	24874000	12622000	12252000				1871	631;10465	True;True	632;10484	736;12518	1325;1326;1327;22666;22667;22668	1327;22667		
Q05655;Q05655-2	Q05655;Q05655-2	3;2	3;2	3;2	Protein kinase C delta type;Protein kinase C delta type regulatory subunit;Protein kinase C delta type catalytic subunit	PRKCD	>sp|Q05655|KPCD_HUMAN Protein kinase C delta type OS=Homo sapiens GN=PRKCD PE=1 SV=2;>sp|Q05655-2|KPCD_HUMAN Isoform 2 of Protein kinase C delta type OS=Homo sapiens GN=PRKCD	2	3	3	3	5.8	5.8	5.8	77.504	676	676;707	2.2818E-26	2.8601	2.4367	15.262	2	25253000	5239400	20014000				1872	2077;10350;10407	True;True;True	2083;10368;10426	2508;12333;12453	4500;22330;22331;22561	4500;22331;22561		
Q06124-2;Q06124;Q06124-3	Q06124-2;Q06124;Q06124-3	2;2;1	2;2;1	2;2;1	Tyrosine-protein phosphatase non-receptor type 11	PTPN11	>sp|Q06124-2|PTN11_HUMAN Isoform 2 of Tyrosine-protein phosphatase non-receptor type 11 OS=Homo sapiens GN=PTPN11;>sp|Q06124|PTN11_HUMAN Tyrosine-protein phosphatase non-receptor type 11 OS=Homo sapiens GN=PTPN11 PE=1 SV=2;>sp|Q06124-3|PTN11_HUMAN Isoform 	3	2	2	2	5.2	5.2	5.2	68.01	593	593;597;460	7.5444E-09	1.4103	1.2388	23.356	2	8927600	3729400	5198200				1873	3087;11910	True;True	3094;11929	3659;14259	6574;26006;26007;26008	6574;26008		
Q06203;D6RE15;D6RCC8	Q06203;D6RE15;D6RCC8	2;1;1	2;1;1	2;1;1	Amidophosphoribosyltransferase	PPAT	>sp|Q06203|PUR1_HUMAN Amidophosphoribosyltransferase OS=Homo sapiens GN=PPAT PE=1 SV=1;>tr|D6RE15|D6RE15_HUMAN Amidophosphoribosyltransferase OS=Homo sapiens GN=PPAT PE=2 SV=1;>tr|D6RCC8|D6RCC8_HUMAN Amidophosphoribosyltransferase OS=Homo sapiens GN=PPAT P	3	2	2	2	5.6	5.6	5.6	57.398	517	517;72;192	7.9692E-09	1.0141	0.90023	13.902	2	22172000	11536000	10636000				1874	4226;5592	True;True	4235;5602	5049;6734	9165;9166;9167;9168;12280	9167;12280		
Q06210-2;Q06210;O94808;E5RJP4	Q06210-2;Q06210	14;14;3;2	14;14;3;2	14;14;3;2	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	GFPT1	>sp|Q06210-2|GFPT1_HUMAN Isoform 2 of Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 OS=Homo sapiens GN=GFPT1;>sp|Q06210|GFPT1_HUMAN Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 OS=Homo sapiens GN=GFPT1 PE=1 SV=3	4	14	14	14	28.9	28.9	28.9	76.758	681	681;699;682;216	1.2673E-83	3.8566	2.7587	25.735	12	354690000	67968000	286720000				1875	1137;1179;2444;2837;2962;4303;4468;4473;7223;9300;11260;11294;11522;11947	True;True;True;True;True;True;True;True;True;True;True;True;True;True	1142;1184;2451;2844;2969;4312;4477;4482;7235;9314;11280;11314;11542;11966	1345;1392;2925;3379;3519;5142;5345;5346;5351;8704;11119;13495;13542;13543;13799;13800;14302	2443;2514;2515;2516;5244;5245;5246;6049;6310;9341;9342;9735;9736;9737;9743;15716;20094;24601;24700;24701;24702;25160;25161;26084;26085	2443;2516;5246;6049;6310;9341;9737;9743;15716;20094;24601;24700;25161;26085		
Q06323;H0YNE3;A6NJG9;H0YKK6;H0YLU2	Q06323;H0YNE3;A6NJG9	14;13;13;4;4	14;13;13;4;4	14;13;13;4;4	Proteasome activator complex subunit 1	PSME1	>sp|Q06323|PSME1_HUMAN Proteasome activator complex subunit 1 OS=Homo sapiens GN=PSME1 PE=1 SV=1;>tr|H0YNE3|H0YNE3_HUMAN Proteasome activator complex subunit 1 OS=Homo sapiens GN=PSME1 PE=2 SV=1;>tr|A6NJG9|A6NJG9_HUMAN Proteasome activator complex subunit 	5	14	14	14	48.6	48.6	48.6	28.723	249	249;233;250;90;114	7.1694E-103	2.197	1.4728	22.651	12	803810000	300150000	503660000				1876	837;838;2729;4904;5434;5435;5608;5776;6187;6854;8017;8917;10238;11113	True;True;True;True;True;True;True;True;True;True;True;True;True;True	841;842;2736;4913;5444;5445;5618;5786;6197;6864;8030;8931;10256;11133	993;994;995;3243;5877;6540;6541;6542;6543;6753;6968;7453;8281;9631;10677;10678;12199;12200;12201;13325	1772;1773;1774;1775;1776;1777;1778;1779;1780;5820;5821;5822;10700;10701;11932;11933;11934;11935;11936;12317;12318;12686;12687;13533;14996;14997;17360;17361;17362;17363;19310;19311;19312;22071;22072;22073;24266;24267;24268	1772;1777;5820;10700;11932;11936;12318;12686;13533;14996;17362;19312;22073;24266		
Q06546	Q06546	1	1	1	GA-binding protein alpha chain	GABPA	>sp|Q06546|GABPA_HUMAN GA-binding protein alpha chain OS=Homo sapiens GN=GABPA PE=1 SV=1	1	1	1	1	2.2	2.2	2.2	51.295	454	454	0.0058125	NaN	NaN	NaN	0	0	0	0				1877	6904	True	6915	8345	15101	15101		
Q06830	Q06830	11	11	8	Peroxiredoxin-1	PRDX1	>sp|Q06830|PRDX1_HUMAN Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1	1	11	11	8	44.2	44.2	32.7	22.11	199	199	2.1327E-35	2.1148	1.3416	20.332	13	3141000000	1145900000	1995100000				1878	168;1042;1551;4037;4038;5880;7372;8784;8832;9210;10382	True;True;True;True;True;True;True;True;True;True;True	168;1046;1556;4045;4046;5890;7384;8798;8846;9224;10401	195;1232;1842;4835;4836;4837;4838;7094;8876;10516;10574;11016;12424	372;373;374;2239;2240;3341;3342;8786;8787;8788;8789;8790;8791;8792;8793;8794;8795;12908;16004;19014;19015;19116;19117;19891;22500;22501;22502	372;2240;3342;8788;8795;12908;16004;19014;19117;19891;22500		
Q07021;I3L3Q7;I3L3B0	Q07021;I3L3Q7;I3L3B0	5;3;3	5;3;3	5;3;3	Complement component 1 Q subcomponent-binding protein, mitochondrial	C1QBP	>sp|Q07021|C1QBP_HUMAN Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens GN=C1QBP PE=1 SV=1;>tr|I3L3Q7|I3L3Q7_HUMAN Complement component 1 Q subcomponent-binding protein, mitochondrial (Fragment) OS=Homo sapiens GN=C1QBP 	3	5	5	5	22	22	22	31.362	282	282;177;178	1.211E-44	0.82944	0.53859	17.635	6	895260000	480030000	415230000				1879	358;359;2979;7886;11044	True;True;True;True;True	358;359;2986;7899;11064	407;408;409;3537;9464;9465;9466;13237;13238	756;757;758;759;760;761;762;6338;6339;6340;6341;17063;17064;17065;17066;17067;24083;24084;24085;24086;24087;24088;24089	756;761;6339;17066;24086		
Q07065	Q07065	25	25	25	Cytoskeleton-associated protein 4	CKAP4	>sp|Q07065|CKAP4_HUMAN Cytoskeleton-associated protein 4 OS=Homo sapiens GN=CKAP4 PE=1 SV=2	1	25	25	25	53.7	53.7	53.7	66.022	602	602	0	4.3367	3.1094	42.262	18	1368800000	195090000	1173700000				1880	1026;1431;1700;2285;2643;2797;4060;4708;4935;5871;6009;6188;6981;7054;8979;9004;9567;9654;9880;9983;10021;10171;10947;11632;11654	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1030;1436;1705;2291;2650;2804;4068;4717;4944;5881;6019;6198;6992;7065;8993;9018;9584;9671;9897;10000;10038;10189;10967;11652;11674	1214;1215;1701;2019;2736;3143;3317;3318;4864;5648;5649;5933;7085;7256;7454;8434;8511;10748;10749;10774;11412;11519;11782;11899;11944;12126;13115;13116;13927;13928;13953;13954	2198;2199;3063;3064;3625;3626;4889;4890;5633;5955;5956;5957;8840;8841;10272;10273;10274;10275;10804;10805;10806;10807;10808;10809;12889;13177;13534;13535;13536;13537;15261;15384;19428;19429;19430;19470;20617;20797;21277;21497;21577;21926;21927;21928;23846;23847;25389;25390;25391;25392;25439;25440;25441;25442;25443	2199;3063;3626;4890;5633;5956;8841;10274;10806;12889;13177;13536;15261;15384;19429;19470;20617;20797;21277;21497;21577;21927;23846;25392;25442		
Q07666;Q07666-3;Q07666-2;O75525-2;O75525;Q5VWX1	Q07666;Q07666-3;Q07666-2	7;6;6;1;1;1	7;6;6;1;1;1	7;6;6;1;1;1	KH domain-containing, RNA-binding, signal transduction-associated protein 1	KHDRBS1	>sp|Q07666|KHDR1_HUMAN KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens GN=KHDRBS1 PE=1 SV=1;>sp|Q07666-3|KHDR1_HUMAN Isoform 3 of KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Hom	6	7	7	7	24.2	24.2	24.2	48.227	443	443;404;418;271;346;349	6.2128E-40	0.77109	0.52172	40.78	8	228010000	132760000	95243000				1881	1002;1915;5202;5671;9490;12333;12334	True;True;True;True;True;True;True	1006;1921;5211;5681;9507;12353;12354	1188;2292;2293;6251;6830;11330;14788;14789	2156;4118;4119;4120;4121;11397;12462;20473;20474;26989;26990	2156;4120;11397;12462;20474;26989;26990		
Q07812-7;Q07812-8;Q07812;Q07812-2;Q07812-5;Q07812-6;M0R2C9;H0YA56;Q07812-4	Q07812-7;Q07812-8;Q07812;Q07812-2;Q07812-5	5;5;5;5;4;2;1;1;1	5;5;5;5;4;2;1;1;1	5;5;5;5;4;2;1;1;1	Apoptosis regulator BAX	BAX	>sp|Q07812-7|BAX_HUMAN Isoform Psi of Apoptosis regulator BAX OS=Homo sapiens GN=BAX;>sp|Q07812-8|BAX_HUMAN Isoform Sigma of Apoptosis regulator BAX OS=Homo sapiens GN=BAX;>sp|Q07812|BAX_HUMAN Apoptosis regulator BAX OS=Homo sapiens GN=BAX PE=1 SV=1;>sp|Q0	9	5	5	5	39.3	39.3	39.3	19.312	173	173;179;192;218;164;114;99;126;143	1.3975E-31	0.78375	0.66378	32.592	4	74505000	40632000	33873000				1882	5000;7658;7688;10311;10404	True;True;True;True;True	5009;7671;7701;10329;10423	6005;9202;9234;12286;12450	10936;10937;10938;16577;16578;16579;16639;16640;22242;22556	10938;16579;16640;22242;22556		
Q08211;Q08211-2	Q08211	25;5	25;5	25;5	ATP-dependent RNA helicase A	DHX9	>sp|Q08211|DHX9_HUMAN ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4	2	25	25	25	26.9	26.9	26.9	140.96	1270	1270;235	3.5711E-117	0.88476	0.67356	23.369	24	816780000	455260000	361530000				1883	92;279;490;1436;2040;2532;3468;3986;4613;5431;5715;6038;6238;6324;6393;6896;8061;8643;8918;8951;10601;10747;11652;12409;12425	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	92;279;491;1441;2046;2539;3475;3994;4622;5441;5725;6048;6248;6334;6403;6907;8074;8657;8932;8965;10620;10766;11672;12429;12445	102;320;571;1707;2462;3022;4100;4772;5525;6534;6884;7290;7506;7507;7604;7687;8335;9682;10351;10679;10716;12685;12854;12855;13950;13951;14880;14897	190;191;593;594;595;596;1057;3076;3077;3078;4414;5405;5406;5407;7377;8669;10066;10067;10068;11924;11925;12539;12540;13245;13246;13625;13626;13627;13628;13793;13794;13795;13934;13935;13936;15085;17457;17458;17459;17460;17461;17462;18714;19313;19314;19373;19374;19375;22980;22981;22982;23316;23317;23318;23319;23320;23321;25433;25434;25435;25436;27167;27168;27169;27196;27197;27198	190;593;1057;3077;4414;5407;7377;8669;10066;11924;12540;13245;13625;13793;13935;15085;17461;18714;19314;19373;22981;23319;25433;27169;27197		
Q08378-4;Q08378-2;Q08378	Q08378-4;Q08378-2;Q08378	4;4;4	4;4;4	4;4;4	Golgin subfamily A member 3	GOLGA3	>sp|Q08378-4|GOGA3_HUMAN Isoform 3 of Golgin subfamily A member 3 OS=Homo sapiens GN=GOLGA3;>sp|Q08378-2|GOGA3_HUMAN Isoform 2 of Golgin subfamily A member 3 OS=Homo sapiens GN=GOLGA3;>sp|Q08378|GOGA3_HUMAN Golgin subfamily A member 3 OS=Homo sapiens GN=GO	3	4	4	4	4.9	4.9	4.9	126.13	1134	1134;1390;1498	8.9075E-11	NaN	NaN	NaN	1	10555000	1087100	9467700				1884	757;1007;6322;8911	True;True;True;True	761;1011;6332;8925	900;1193;7602;10669	1606;2163;13790;19297	1606;2163;13790;19297		
